Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
184000,3234,56.9,1,6,3,Central thermostat,Partial decoration,0.61,0.15,0.4,0.26,9.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-parduodamas-3-kambariu-butas-name-sumaniems-1-3211838/,-37127.96875,221127.97,2023-01-01,2022-11-29
85000,1809,47.0,4,5,2,Central,Fully equipped,0.14,0.43,0.26,0.18,14.0,Vilnius,Karoliniškės,https://en.aruodas.lt/butai-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-parduodamas-2-kambariu-butas-a-p-kavoliuko-1-3257288/,-37046.8671875,122046.87,1975-01-01,2022-11-29
85000,1809,47.0,4,5,2,Central,Fully equipped,0.14,0.43,0.26,0.18,14.0,Vilnius,Karoliniškės,https://en.aruodas.lt/butai-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-parduodamas-2-kambariu-butas-a-p-kavoliuko-1-3257288/,-37046.859375,122046.86,1975-01-01,2022-11-29
85000,1809,47.0,4,5,2,Central,Fully equipped,0.14,0.43,0.26,0.18,14.0,Vilnius,Karoliniškės,https://en.aruodas.lt/butai-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-parduodamas-2-kambariu-butas-a-p-kavoliuko-1-3264152/,-37046.859375,122046.86,1975-01-01,2022-11-29
243000,4690,51.81,2,6,3,Central thermostat,Fully equipped,0.41,0.34,0.43,0.39,17.0,Vilnius,Žvėrynas,https://en.aruodas.lt/butai-vilniuje-zveryne-pienines-g-zveryno-namu-projekte-parduodamas-1-3271214/,-37028.03125,280028.03,2019-01-01,2022-11-29
169000,2985,56.61,1,7,3,Central thermostat,Fully equipped,0.55,0.5,0.22,0.27,0.0,Vilnius,Vilkpėdė,https://en.aruodas.lt/butai-vilniuje-vilkpedeje-vilkpedes-g-vilkpedes-pradzioje-ant-kalno-su-terasa-ir-1-3240126/,-37026.640625,206026.64,2009-01-01,2022-11-29
69900,2542,27.5,9,9,1,Central thermostat,Fully equipped,0.23,0.31,0.53,0.58,15.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-1-3269558/,-37018.2734375,106918.27,1974-01-01,2022-11-29
125000,2660,47.0,4,5,2,Central,Fully equipped,0.24,0.14,0.2,0.14,31.0,Vilnius,Žirmūnai,https://en.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-verta-zinoti-2022m-renovuotas-namas-1-3266560/,-36901.453125,161901.45,1976-01-01,2022-11-29
124178,3590,34.59,2,5,2,Central thermostat,Partial decoration,0.48,0.24,0.56,0.13,9.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-satrijos-g-naujas-etapas-butu-projekte-snipiskiu-1-3262286/,-36895.34375,161073.34,2022-01-01,2022-11-29
133796,3403,39.32,2,3,2,Aerothermal,Partial decoration,0.49,0.49,0.58,0.57,1.0,Vilnius,Pilaitė,https://en.aruodas.lt/butai-vilniuje-pilaiteje-mozuriskiu-g-retai-sutinkamas-bet-imanomas-kompromisas-1-3256902/,-36847.890625,170643.89,2023-01-01,2022-11-29
133796,3403,39.32,2,3,2,Aerothermal,Partial decoration,0.49,0.49,0.58,0.57,1.0,Vilnius,Pilaitė,https://en.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-retai-sutinkamas-bet-imanomas-kompromisas-1-3256574/,-36847.890625,170643.89,2023-01-01,2022-11-29
189999,1665,114.13,1,9,5,Central,Fully equipped,0.08,0.14,0.52,0.24,6.0,Vilnius,Baltupiai,https://en.aruodas.lt/butai-vilniuje-baltupiuose-didlaukio-g-butas-nestandartumegejamsjei-ieskai-kazko-1-3271480/,-36845.734375,226844.73,1982-01-01,2022-11-29
189999,1665,114.13,1,9,5,Central,Fully equipped,0.08,0.14,0.52,0.24,6.0,Vilnius,Baltupiai,https://en.aruodas.lt/butai-vilniuje-baltupiuose-didlaukio-g-butas-nestandartumegejamsjei-ieskai-kazko-1-3271480/,-36845.703125,226844.7,1982-01-01,2022-11-29
139000,2163,64.25,8,9,2,Central thermostat,Fully equipped,0.28,0.44,0.08,0.09,16.0,Vilnius,Pašilaičiai,https://en.aruodas.lt/butai-vilniuje-pasilaiciuose-gabijos-g-parduodamas-erdvus-ir-sviesus-dvieju-1-3266644/,-36806.09375,175806.1,2004-01-01,2022-11-29
86500,2031,42.58,1,12,1,Central,Fully equipped,0.51,0.5,0.35,0.26,12.0,Vilnius,Šeškinė,https://en.aruodas.lt/butai-vilniuje-seskineje-buivydiskiu-g-butas-parduodamas-su-baldais-ir-visa-butina-1-3235366/,-36794.71875,123294.72,1987-01-01,2022-11-29
158000,3950,40.0,6,9,2,Central thermostat,Fully equipped,0.02,0.02,0.21,0.18,14.0,Vilnius,Žirmūnai,https://en.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-tarpininku-prasome-netrukdyti-butas-1-3246199/,-36780.03125,194780.03,2012-01-01,2022-11-29
15500,912,17.0,2,5,1,Central,Fully equipped,0.36,0.25,0.38,0.26,12.0,Klaipėda,Debrecenas,https://en.aruodas.lt/butai-klaipedoje-debrecene-debreceno-g-debreceno-g-25-aukste-parduodamas-didysis-1-3268614/,-36759.7265625,52259.727,1975-01-01,2022-11-29
189900,3165,60.0,2,3,3,Central,Fully equipped,0.14,0.24,0.15,0.01,19.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-lvivo-g-parduodamas-puikioje-lokacijoje-esantis-1-3261422/,-36752.640625,226652.64,1940-01-01,2022-11-29
205000,3203,64.0,2,5,3,Central thermostat,Fully equipped,0.24,1.4,0.13,0.08,2.0,Vilnius,Lazdynėliai,https://en.aruodas.lt/butai-vilniuje-lazdyneliuose-lazdyneliu-g--mazaaukste-statyba-butas-parduodamas-su-1-3265604/,-36744.828125,241744.83,2020-01-01,2022-11-29
84999,2146,39.61,2,5,1,Central,Fully equipped,0.28,0.2,0.25,0.16,11.0,Vilnius,Justiniškės,https://en.aruodas.lt/butai-vilniuje-justiniskese-justiniskiu-g-parduodamas-1-kambario-butas-prie-pat-yra-1-3270806/,-36637.28125,121636.28,1984-01-01,2022-11-29
99000,1523,65.0,3,3,2,Gas,Fully equipped,0.39,0.53,0.17,0.17,3.0,Kaunas,Šilainiai,https://en.aruodas.lt/butai-kaune-silainiuose-apuoles-g-pasiulymas-megstantiems-ramybe-privatuma-1-3260766/,-36628.625,135628.62,1997-01-01,2022-11-29
147334,3068,48.03,4,4,2,Gas,Partial decoration,0.37,1.7,1.2,0.62,0.0,Vilnius,Bajorai,https://en.aruodas.lt/butai-vilniuje-bajoruose-salaspilio-g-gyvenamuju-namu-kvartalas-bajoru-alejos-9-1-3273478/,-36612.03125,183946.03,2023-01-01,2022-11-29
240000,5186,46.28,1,5,2,Central thermostat,Fully equipped,0.59,0.35,0.42,0.4,14.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-parduodamas-jaukus-dvieju-kambariu-butas-su-1-3270070/,-36599.34375,276599.34,2017-01-01,2022-11-29
155000,2541,61.0,2,6,3,Central,Fully equipped,0.3,0.27,0.13,0.15,8.0,Vilnius,Užupis,https://en.aruodas.lt/butai-vilniuje-uzupyje-peteliskiu-g-verta-zinoti-rami-vieta-salia-parko-1-3272086/,-36475.828125,191475.83,1980-01-01,2022-11-29
270450,5000,54.09,3,3,2,Aerothermal,Partial decoration,0.22,0.26,0.26,0.11,5.0,Vilnius,Žvėrynas,https://en.aruodas.lt/butai-vilniuje-zveryne-seliu-g-parduodamas-gyvenamosios-paskirties-butas-su-1-3269726/,-36410.9375,306860.94,2023-01-01,2022-11-29
