Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
41000,1242,33.0,5,5,1,Central,Fully equipped,0.16,0.17,0.06,0.42,13,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-gedminu-g-gedminu-gatveje-salia-naujakiemio-gatves-1-3273130/,1589273.2732118464,-1548273.2732118464,1980-01-01,2022-11-28
71999,1500,48.0,3,5,2,Central,Fully equipped,0.13,0.43,0.1,0.1,19,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-statybininku-pr-parduodamas-2-kambariu-butas-labai-geroje-1-3244881/,1589969.846545453,-1517970.846545453,1976-01-01,2022-11-28
29000,1888,15.36,1,1,1,Other,Partial decoration,0.77,0.7,0.94,,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-medvalakio-g-pristatome-nauja-pajurio-projekta-palangos-1-3270310/,1593133.3227254055,-1564133.3227254055,1985-01-01,2022-11-28
77000,977,78.8,1,5,4,Central,Fully equipped,0.08,0.19,0.19,0.19,5,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-i-simonaitytes-g-idealus-pasiulymas-seimai-ar-porai-1-3242583/,1594971.2655007995,-1517971.2655007995,1980-01-01,2022-11-28
77000,977,78.8,1,5,4,Central,Fully equipped,0.08,0.19,0.19,0.19,5,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-vingio-mikrorajone-i-simonaitytes-g-klaipedoje-isimonaitytes-g-parduodamas-4-1-3258996/,1594971.2655007995,-1517971.2655007995,1980-01-01,2022-11-28
50000,1515,33.0,1,5,1,Central,Fully equipped,0.21,0.17,0.18,0.06,4,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-siauliu-g-klaipedoje-parduodamas-1-no-kambario-butas-1-3258346/,1598273.24454458,-1548273.24454458,1978-01-01,2022-11-28
85000,1090,78.0,2,5,4,Central,Fully equipped,0.11,0.38,0.18,0.24,15,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-zardininku-g-parduodamas-4-kambariu-butas-1-3267256/,1602971.2603977432,-1517971.2603977432,1981-01-01,2022-11-28
85000,1090,78.0,2,5,4,Central,Fully equipped,0.11,0.38,0.18,0.24,15,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodu-4-kambariu-buta-zardininku-gprie-1-3267202/,1602971.2609524743,-1517971.2609524743,1980-01-01,2022-11-28
85000,1090,78.0,2,5,4,Central,Fully equipped,0.11,0.38,0.18,0.24,15,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-keturiu-kambariu-butas-butas-ne-1-3252147/,1602971.2626154807,-1517971.2626154807,1977-01-01,2022-11-28
85000,1090,78.0,2,5,4,Central,Fully equipped,0.11,0.38,0.18,0.24,15,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-keturiu-kambariu-butas-butas-ne-1-3252147/,1602971.2626154807,-1517971.2626154807,1977-01-01,2022-11-28
54800,1661,33.0,6,9,1,Central,Fully equipped,0.1,0.29,0.34,0.22,25,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-statybininku-pr-puikiai-tinka-nuomai-arba-gyvenimui-1-no-1-3260264/,1603073.2570370815,-1548273.2570370815,1975-01-01,2022-11-28
39000,1696,23.0,1,1,2,Other,Partial decoration,0.77,0.7,0.94,,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-medvalakio-g-pristatome-nauja-pajurio-projekta-palangos-1-3268706/,1603133.4251589607,-1564133.4251589607,1985-01-01,2022-11-28
54999,1667,33.0,4,5,1,Central,Fully equipped,0.13,0.34,0.1,0.32,17,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-naujakiemio-g-parduodamas-jaukus-1-kambario-butas-1-3272916/,1603272.2678622752,-1548273.2678622752,1972-01-01,2022-11-28
55000,1170,47.0,2,5,2,Central,Fully equipped,0.24,0.15,0.17,0.04,5,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-statybininku-pr-karstas-nt-pasiulymas-parduodamas-2-ju-1-3272464/,1603273.4507764517,-1548273.4507764517,1972-01-01,2022-11-28
86000,1344,64.0,4,5,3,Central,Fully equipped,0.04,0.22,0.32,0.23,14,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-klaipedos-m-zardininku-gatveje-parduodamas-1-3272958/,1603971.079690445,-1517971.079690445,1978-01-01,2022-11-28
87999,1872,47.0,3,5,2,Central,Fully equipped,0.17,0.12,0.38,0.29,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-reikjaviko-gatveje-parduodamas-2-ju-kambariu-1-3271870/,1605969.8307173315,-1517970.8307173315,1979-01-01,2022-11-28
87999,1872,47.0,3,5,2,Central,Fully equipped,0.17,0.12,0.38,0.29,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-reikjaviko-gatveje-parduodamas-2-ju-kambariu-1-3271870/,1605969.8307173315,-1517970.8307173315,1979-01-01,2022-11-28
88000,1872,47.0,3,5,2,Central,Fully equipped,0.19,0.12,0.27,0.2,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-parduodu-2-ju-kambariu-buta-reikjaviko-g53-1-3270772/,1605970.830381117,-1517970.830381117,1980-01-01,2022-11-28
88000,1872,47.0,3,5,2,Central,Fully equipped,0.19,0.12,0.27,0.2,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-reikjaviko-g-parduodamas-2k-47-kvm-butas-1-3270142/,1605970.8307173315,-1517970.8307173315,1979-01-01,2022-11-28
88000,1867,47.14,3,5,2,Central,Fully equipped,0.17,0.12,0.38,0.29,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-savininkas-parduoda-2-kambariu-buta-1-3271768/,1605970.8327884944,-1517970.8327884944,1979-01-01,2022-11-28
88000,1867,47.14,3,5,2,Central,Fully equipped,0.17,0.12,0.38,0.29,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-parduodamas-2-kambariu-butas-reikjaviko-g-1-3272068/,1605970.8327884944,-1517970.8327884944,1979-01-01,2022-11-28
88000,1867,47.14,3,5,2,Central,Fully equipped,0.17,0.12,0.38,0.29,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-savininkas-parduoda-2-kambariu-buta-1-3271768/,1605970.8327884944,-1517970.8327884944,1979-01-01,2022-11-28
88500,1383,64.0,4,5,3,Central,Fully equipped,0.05,0.32,0.22,0.24,14,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-zardininku-g-parduodamas-3-atskiru-kambariu-1-3271748/,1606471.079690445,-1517971.079690445,1978-01-01,2022-11-28
89000,1391,64.0,1,9,3,Central,Fully equipped,0.12,0.38,0.14,0.26,13,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-ateini-ir-gyveni-jokiu-investiciju-1-3270876/,1606971.0331622283,-1517971.0331622283,1978-01-01,2022-11-28
89000,1391,64.0,1,9,3,Central,Fully equipped,0.12,0.38,0.14,0.26,13,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-butas-parduodamas-su-visais-baldais-ir-1-3271752/,1606971.0331622283,-1517971.0331622283,1978-01-01,2022-11-28
58900,1280,46.0,2,5,2,Central,Fully equipped,0.24,0.15,0.17,0.04,5,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-siauliu-g-parduodamas-2-kambariu-butas-antrame-namo-1-3267536/,1607173.4349478614,-1548273.4349478614,1975-01-01,2022-11-28
44000,1913,23.0,1,1,2,Other,Partial decoration,0.77,0.7,0.94,,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-medvalakio-g-pristatome-nauja-pajurio-projekta-palangos-1-3270298/,1608133.4251589607,-1564133.4251589607,1985-01-01,2022-11-28
60000,1267,47.35,1,5,2,Central,Fully equipped,0.15,0.14,0.22,0.27,13,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-naujakiemio-g--salia-naujai-statomu-prekybos-1-3272194/,1608273.4479934007,-1548273.4479934007,1974-01-01,2022-11-28
39500,1519,26.0,2,2,1,Solid fuel,Fully equipped,0.2,0.46,0.36,0.04,3,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-mokyklos-g-pigus-islaikymasoras-oras-ir-krosninis-1-3270822/,1608364.611605689,-1568864.611605689,1936-01-01,2022-11-28
60999,1794,34.0,5,5,1,Central thermostat,Fully equipped,0.21,0.17,0.23,0.17,16,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-gedminu-g-renovacija-ismoketa-naujakiemio-rajone-1-3272610/,1608780.3209865096,-1547781.3209865096,1979-01-01,2022-11-28
91000,1422,64.0,1,5,3,Central,Fully equipped,0.17,0.47,0.06,0.16,16,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-taikos-pr-triju-kambariu-butas-parduoda-savininkas-1-3263048/,1608971.057823597,-1517971.057823597,1978-01-01,2022-11-28
32990,1571,21.0,7,9,1,Central,Fully equipped,0.06,0.31,0.08,0.22,8,Klaipėda,Kaunas,https://en.aruodas.lt/butai-klaipedoje-kauno-mikrorajone-kauno-g-sumazinta-kaina-1-kamb-kauno-gatveje-1-3269978/,1609119.3488228018,-1576129.3488228018,1977-01-01,2022-11-28
32990,1571,21.0,7,9,1,Central,Fully equipped,0.06,0.31,0.08,0.22,8,Klaipėda,Kaunas,https://en.aruodas.lt/butai-klaipedoje-kauno-mikrorajone-kauno-g-parduodamas-po-kosmetinio-remonto-1-kambario-1-3268720/,1609119.3503297593,-1576129.3503297593,1967-01-01,2022-11-28
