City,District,Sale_m2,Rent_m2,RelativePriceToRent
Vilnius,Naujamiestis,3209.695754787652,12.676571681704445,253.19903798753955
Vilnius,Užupis,4010.271860473091,15.672612864073926,255.87768263361951
Vilnius,Šiaurės miestelis,2514.025758582691,9.824406854873814,255.89593302882218
Vilnius,Antakalnis,2775.8513715382433,10.739067355716543,258.48160548696274
Vilnius,Paupys,5689.676075908821,21.762772583493643,261.4407724971705
Panevėžys,Klaipėdos,1065.7520082127594,4.061666133491235,262.3928144720956
Klaipėda,Laukininkai,1107.0030349187582,4.207453411794688,263.1052388638491
Panevėžys,Kniaudiškiai,1197.9713946193224,4.547003566906085,263.4639223374213
Vilnius,Senamiestis,3940.5499996989965,14.85753420381684,265.22234077621613
Kaunas,Freda,2136.721194080659,7.984991199674624,267.59217895790886
