index,Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
46,94000,1424,66.0,3,3,3,1988-01-01,Electric,Fully equipped,0.64,0.76,0.49,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-parduodamas-3-kambariu-butas-meguvos-g-1-3223866/
47,95000,1573,60.38,2,4,2,1988-01-01,Electric,Fully equipped,0.83,0.97,0.71,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-irengtas-2-kambariu-erdvus-butas-1-3223272/
48,130728,3900,33.52,2,4,1,2022-01-01,Gas,Partial decoration,0.8,0.91,0.43,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3028915/
49,127000,2954,42.99,1,1,2,2022-01-01,Gas,Partial decoration,0.8,0.91,0.43,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3028911/
50,153387,3900,39.33,1,1,2,2022-01-01,Gas,Partial decoration,0.8,0.91,0.43,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3028895/
51,176812,3750,47.15,2,4,2,2022-01-01,Gas,Partial decoration,0.95,1.1,0.25,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambario-butas-dar-statomame-1-3026119/
52,150282,3300,45.54,4,4,2,2022-01-01,Gas,Partial decoration,0.95,1.1,0.25,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-2-kambariu-butas-dar-statomame-1-3026101/
53,117018,3300,35.46,4,4,1,2022-01-01,Gas,Partial decoration,0.95,1.1,0.25,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3026099/
54,105765,3300,32.05,4,4,1,2022-01-01,Gas,Partial decoration,0.95,1.1,0.25,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-parduodamas-1-kambario-butas-dar-statomame-1-3026093/
55,96200,2532,38.0,1,2,3,2023-01-01,Aerothermal,Partial decoration,4.3,4.5,0.47,,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-naujame-uzdarame-kvartale-parduodami-2-3-1-3256832/
