Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
29000,967,30.0,3,3,1,1954-01-01,Central,Fully equipped,0.3,0.45,0.13,0.18,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-1-kambarys-su-bendra-virtuve-1-3102251/
49900,884,56.42,8,9,2,1981-01-01,Central,Fully equipped,0.25,0.43,0.13,0.14,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-kalnupes-g-toliau-nuo-judrios-gatves-1-3267488/
38900,1341,29.0,2,4,1,1960-01-01,Central,Fully equipped,0.57,0.57,0.2,0.14,5,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-zalgirio-g-skubiai-1-kambario-butas-su-balkonu-zalgirio-1-3267352/
10000,588,17.0,2,5,1,1968-01-01,Central,Fully equipped,0.47,0.24,0.08,0.16,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-minijos-gatveje-parduodamas-1-nas-kambarys-1-3267306/
53000,1233,43.0,1,4,2,1977-01-01,Central,Fully equipped,0.58,0.73,0.26,0.25,2,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-zalgirio-g-labai-tvarkingas-butas-su-baldais-2-ju-1-3238186/
70000,897,78.0,5,5,3,1980-01-01,Central,Fully equipped,0.27,0.69,0.36,0.37,17,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-rambyno-g-1-3266184/
25000,1190,21.0,1,4,1,1977-01-01,Central,Fully equipped,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-gera-investicija-nuomai-parduodamas-21-kv-1-3265868/
55000,965,57.0,7,9,2,1982-01-01,Central,Fully equipped,0.19,0.34,0.11,0.09,11,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-naikupes-g-parduodamas-dvieju-nepereinamu-kambariu-butas-1-3265258/
55000,965,57.0,7,9,2,1982-01-01,Central,Fully equipped,0.19,0.34,0.11,0.09,11,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-naikupes-g-savininkas-parduodamas-erdvus-2-ju-kambariu-1-3260530/
70000,1129,62.0,4,5,3,1978-01-01,Central,Fully equipped,0.18,0.17,0.11,0.16,11,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-3-ju-kambariu-butas-nidos-g-54-aukste-1-3265172/
97000,1236,78.46,5,5,4,1974-01-01,Central,Fully equipped,0.43,0.36,0.17,0.27,6,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-minijos-g-parduodamas-4-kambariu-7846-kvm-1-3262872/
66000,1179,56.0,2,9,2,1983-01-01,Central,Fully equipped,0.25,0.43,0.13,0.14,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-erdvus-butas-2-ju-kambariu-butas-kalnupes-1-3262228/
66000,1179,56.0,2,9,2,1983-01-01,Central,Fully equipped,0.25,0.43,0.13,0.14,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-parduodamas-dvieju-nepereinamu-kambariu-butas-1-3265260/
63000,2100,30.0,2,4,1,1960-01-01,Central,Fully equipped,0.55,0.68,0.16,0.13,2,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-zalgirio-g-nera-tarpininkavimo-mokescio-klaipedoje-1-3259612/
59000,1967,30.0,2,4,1,1960-01-01,Central,Fully equipped,0.55,0.68,0.16,0.13,2,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-zalgirio-g-apartamentai-parduoda-savininke-klaipedoje-1-3258760/
7128,501,14.22,2,4,1,1960-01-01,Central,Other,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-1-kambario-butas-parduodamas-objektas-1-1-3238056/
60000,1250,48.0,5,5,2,2004-01-01,Central,Fully equipped,0.5,0.32,0.13,0.19,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-2-ju-kambariu-butas-minijos-g-1-3236186/
52000,1156,45.0,2,4,2,1960-01-01,Central,Fully equipped,0.31,0.49,0.05,0.09,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-tvarkingas-2-ju-kambariu-butas-1-3216956/
18900,1047,18.06,4,4,1,1960-01-01,Central,Partial decoration,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-1-kambario-butas-minijos-1-3190674/
73000,1415,51.59,5,5,2,1988-01-01,Central,Partial decoration,0.62,0.77,0.3,0.28,2,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-parduodamas-dvieju-kambariu-butas-kalnupes-1-3179410/
66999,1063,63.0,1,5,2,1988-01-01,Central,Fully equipped,0.14,0.57,0.28,0.32,17,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-poilsio-g-poilsio-gatveje-netoli-egles-turgaus-1-3271478/
39900,1174,34.0,4,5,2,1987-01-01,Central,Fully equipped,0.3,0.73,0.47,0.18,4,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-rambyno-g-parduodamas-2-ieju-kambariu-butas-1-3260842/
65000,1413,46.0,2,2,2,1961-01-01,Gas,Fully equipped,0.18,0.22,0.25,0.25,12,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-poilsio-g-dvieju-kambariu-butas-jaukus-ir-labai-1-3258632/
83500,1891,44.15,1,5,2,1959-01-01,Central,Fully equipped,0.25,0.39,0.13,0.11,9,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-minijos-g-parduodamas-2-kambariu-butas-su-drabuzine-1-3255063/
77000,992,77.6,5,5,3,1987-01-01,Central,Fully equipped,0.17,0.6,0.36,0.37,17,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-rambyno-g-3-kamb-su-holu-parduodamas-tvarkingas-3k-su-1-3219514/
79990,1250,64.0,4,5,2,1983-01-01,Central,Fully equipped,0.19,0.26,0.22,0.22,12,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-darzelio-g-darzelio-gatveje-jaukioje-vietoje-parduodamas-1-3271144/
79999,1250,64.0,4,5,2,1983-01-01,Central,Fully equipped,0.19,0.26,0.22,0.22,12,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-darzelio-g-su-visais-baldais-ir-buitine-technika-butas-1-3272208/
