Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
79000,1876,42.12,2,2,2,1986-01-01,Central,Fully equipped,0.5,0.12,0.09,0.14,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-karklenu-g-parduodamas-2-kambariu-butas-su-erdvia-terasa-1-3265398/
40999,1464,28.0,5,5,2,1981-01-01,Electric,Fully equipped,1.0,1.2,1.2,0.17,2.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-naujai-irengtas-2-ju-kambariu-1-3262538/
54500,1817,30.0,2,2,2,1976-01-01,"Electric, solid fuel",Fully equipped,0.98,1.1,0.61,0.1,4.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-erdvus-sviesus-30-kv-m-2-1-3254587/
41000,1523,26.92,1,2,1,1971-01-01,Solid fuel,Fully equipped,1.2,1.2,1.2,0.71,0.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-strielciuku-g-ramioje-naujosios-vilnios-vietoje-1-3262142/
75000,1792,41.86,5,5,2,1964-01-01,Central,Fully equipped,0.1,0.3,0.32,0.09,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pergales-g-arduodamas-2-ju-kambariu-butas-vilniuje-1-3259506/
49999,1111,45.0,1,1,2,1940-01-01,Solid fuel,Fully equipped,0.72,0.33,0.44,0.37,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-gandru-g-parduodama-puse-namo-su-sklypu-ramioje-1-3258136/
46000,3032,15.17,2,4,1,1960-01-01,Central,Fully equipped,0.12,0.23,0.26,0.06,7.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-parduodamas-tvarkingas-1k-butas-su-baldais-1-3256020/
38900,973,40.0,1,2,2,1954-01-01,Solid fuel,Fully equipped,0.72,0.88,0.23,0.05,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-a-kojelaviciaus-g-2-kambariu-butas-3951-kv-m-bendro-ploto-1-3243895/
129999,2364,55.0,5,5,2,1994-01-01,Central,Fully equipped,0.71,0.2,0.23,0.2,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-parduodamas-ekonomiskas-funkcionalaus-1-3236340/
30375,774,39.23,1,1,2,1940-01-01,Solid fuel,Other,0.65,0.77,0.2,0.04,2.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-a-kojelaviciaus-g-butas-unikalus-nr-1094-0098-40140004-39-1-3229810/
53000,1432,37.0,5,5,2,1981-01-01,Electric,Fully equipped,1.0,1.2,1.2,0.17,2.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-naujai-irengtas-2-ju-kambariu-1-3219100/
74999,1471,51.0,2,3,2,1979-01-01,Electric,Fully equipped,0.98,1.1,0.61,0.1,4.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-labai-sviesus-naujai-irengtas-1-3204101/
52000,1300,40.0,1,1,2,1940-01-01,Solid fuel,Fully equipped,0.49,0.55,0.17,0.15,2.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-tremtiniu-g-parduodamas-kompaktiskas-2-kambariu-40-kvm-1-2947137/
125000,2358,53.0,5,5,2,1984-01-01,Central,Fully equipped,0.14,0.45,0.17,0.12,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-dzuku-g-parduoda-savininkas-puikus-butas-po-1-3252587/
69900,2542,27.5,9,9,1,1974-01-01,Central thermostat,Fully equipped,0.23,0.31,0.53,0.58,15.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-1-3269558/
81500,2717,30.0,5,5,1,1965-01-01,Central thermostat,Fully equipped,0.1,0.35,0.22,0.04,20.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-dzuku-g-salia-senamiescio-dzuku-g-tvarkingame-1-3269566/
179500,2911,61.66,2,5,3,2023-01-01,Central thermostat,Partial decoration,0.47,0.41,0.37,0.45,9.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-kapsu-g-sparciai-vykdomi-isores-ir-vidaus-darbai-1-3220770/
134900,2066,65.29,12,12,3,1976-01-01,Central,Fully equipped,0.59,0.38,0.22,0.1,15.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-tyzenhauzu-g-parduodamas-erdvus-ir-sviesus-3-kambariu-1-3259726/
64900,1800,36.06,5,5,1,1986-01-01,Central,Fully equipped,0.08,0.2,0.44,0.48,15.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-garveziu-g-parduodamas-siltas-sviesus-1-kambario-butas-1-3273294/
24500,2333,10.5,2,5,1,1980-01-01,Central,Fully equipped,0.1,0.47,0.24,0.17,19.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-pelesos-g-parduodamas-1-kambario-butas-bedrabucio-tipo-1-3272836/
90000,2143,42.0,1,10,2,1986-01-01,Central,Fully equipped,0.3,0.28,0.34,0.12,17.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-konduktoriu-g-parduodamas-jaukus-42-kvm-butas-galimas-1-3271790/
87000,1891,46.0,5,5,2,1962-01-01,Central,Fully equipped,0.15,0.24,0.06,0.23,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-zanavyku-g-parduodamas-2-ju-kambariu-butas-naujininkuose-1-3269678/
65000,2233,29.11,2,5,1,1976-01-01,Central,Fully equipped,0.25,0.26,0.14,0.29,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-kapsu-g-parduodamas-jaukus-bei-tvarkingas-1-kambario-1-3266964/
230000,2674,86.0,1,1,4,1940-01-01,"Electric, gas, solid fuel",Fully equipped,0.48,0.6,0.68,0.48,2.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-iesmininku-g-sveiki-isaugom-savo-namus-todel-parduodam-1-3266980/
149800,2996,50.0,1,1,3,2022-01-01,Electric,Fully equipped,1.6,1.6,1.9,0.75,0.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-rodunios-sodu-16-oji-g-parduodamas-visiskai-naujas-pagal-dizaineriu-1-3262974/
38000,2235,17.0,2,5,1,1976-01-01,Electric,Partial decoration,0.09,0.23,0.15,0.15,19.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-parduodamas-1k-butas-parduodamas-1k-butas-1-3018139/
149000,2569,58.0,2,5,2,2008-01-01,Central thermostat,Fully equipped,0.33,0.23,0.26,0.47,9.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-kaminkelio-g-parduodamas-2-kambariu-58m2-butas-su-baldais-1-3270984/
143800,2876,50.0,1,1,3,1950-01-01,"Gas, solid fuel",Fully equipped,1.1,0.51,0.87,0.1,6.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-dariaus-ir-gireno-g-naujininkai-tai-sparciai-atsinaujinantis-1-3261586/
125000,2358,53.0,5,5,2,1984-01-01,Central,Fully equipped,0.14,0.45,0.17,0.12,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-dzuku-g-parduodamas-sviesus-ir-funkcionaliai-1-3261334/
33000,1315,25.1,5,5,1,1968-01-01,Central,Fully equipped,0.09,0.23,0.15,0.15,19.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-parduodamas-1-kambario-butas-saltkalviu-g-8-1-3260184/
72500,2685,27.0,9,9,2,1972-01-01,Central,Fully equipped,0.21,0.21,0.4,0.41,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-parduodame-naujai-irengta-funkcionalu-2-ju-1-3268782/
58900,2104,28.0,7,9,1,1972-01-01,Central,Fully equipped,0.23,0.1,0.42,0.44,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-1-3258060/
82000,2799,29.3,5,5,1,1969-01-01,Central,Fully equipped,0.15,0.14,0.37,0.36,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-parduodamas-1-kambario-katik-irengtas-butas-1-3194316/
210000,2749,76.4,2,3,3,1906-01-01,Gas,Fully equipped,0.34,0.42,0.06,0.06,41.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-pelesos-g-atviru-duru-diena-lapkricio-12-diena-1-3254849/
87900,2443,35.98,2,2,3,1940-01-01,"Electric, other",Fully equipped,0.17,0.29,0.28,0.18,20.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-rudaminos-g-parduodamas-naujai-irengtas-triju-kambariu-1-3264270/
299,11,28.0,7,9,1,1972-01-01,Central,Fully equipped,0.23,0.1,0.42,0.44,18.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-1-3272998/
69000,3286,21.0,4,5,1,2000-01-01,Gas,Fully equipped,1.0,2.2,2.6,0.11,1.0,Vilnius,Naujininkai,https://en.aruodas.lt/butai-vilniuje-naujininkuose-meistru-g-visiskas-naujas-parduodama-1-kabario-1-3272834/
